Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Australia and Oceania,Nauru,Vegetables,Offline,M,1/14/10,131482589,1/20/10,7475,154.06,90.93,1151598.5,679701.75,471896.75
Sub-Saharan Africa,Swaziland,Cereal,Online,L,2/10/14,713696610,3/28/14,7542,205.7,117.11,1551389.4,883243.62,668145.78
Europe,Finland,Vegetables,Online,C,1/21/14,306220996,1/30/14,6452,154.06,90.93,993995.12,586680.36,407314.76
Australia and Oceania,Papua New Guinea,Household,Offline,L,2/28/10,157542073,3/15/10,9055,668.27,502.54,6051184.85,4550499.7,1500685.15
Sub-Saharan Africa,Mauritius ,Personal Care,Online,L,2/18/15,686458671,3/8/15,7230,81.73,56.67,590907.9,409724.1,181183.8
Sub-Saharan Africa,Mozambique,Office Supplies,Online,M,6/14/12,132082116,7/22/12,4888,651.21,524.96,3183114.48,2566004.48,617110
Europe,Bulgaria,Clothes,Online,L,3/5/13,403836238,4/3/13,2972,109.28,35.84,324780.16,106516.48,218263.68
Europe,Spain,Household,Online,C,4/10/14,331457364,4/23/14,4455,668.27,502.54,2977142.85,2238815.7,738327.15
Australia and Oceania,Vanuatu,Meat,Online,H,7/26/17,614994323,9/12/17,9341,421.89,364.69,3940874.49,3406569.29,534305.2
Europe,Belgium,Fruits,Offline,L,10/19/10,674808442,10/24/10,9669,9.33,6.92,90211.77,66909.48,23302.29
Europe,Belgium,Baby Food,Offline,L,11/8/16,901573550,12/23/16,4503,255.28,159.42,1149525.84,717868.26,431657.58
Sub-Saharan Africa,Guinea-Bissau,Clothes,Online,L,3/31/14,406275975,5/10/14,4944,109.28,35.84,540280.32,177192.96,363087.36
Sub-Saharan Africa,Togo,Vegetables,Online,C,8/18/16,170214545,8/19/16,9121,154.06,90.93,1405181.26,829372.53,575808.73
Sub-Saharan Africa,Cote d'Ivoire,Personal Care,Offline,C,1/3/16,795000588,1/8/16,7196,81.73,56.67,588129.08,407797.32,180331.76
Sub-Saharan Africa,Republic of the Congo,Fruits,Offline,C,10/21/16,252557933,11/4/16,6360,9.33,6.92,59338.8,44011.2,15327.6
Middle East and North Africa,Libya,Baby Food,Offline,M,12/10/16,635122907,12/13/16,5837,255.28,159.42,1490069.36,930534.54,559534.82
Australia and Oceania,East Timor,Vegetables,Online,C,8/12/11,505244338,9/19/11,1882,154.06,90.93,289940.92,171130.26,118810.66
Europe,Switzerland,Clothes,Offline,H,3/23/12,745783555,5/9/12,2782,109.28,35.84,304016.96,99706.88,204310.08
Australia and Oceania,Palau,Snacks,Offline,M,4/27/12,509914386,6/11/12,3853,152.58,97.44,587890.74,375436.32,212454.42
Middle East and North Africa,Jordan,Household,Online,M,1/29/14,371123158,2/9/14,2445,668.27,502.54,1633920.15,1228710.3,405209.85
Europe,Slovenia,Household,Online,H,12/13/16,973208701,12/28/16,2936,668.27,502.54,1962040.72,1475457.44,486583.28
Asia,South Korea,Baby Food,Online,L,11/21/13,780282342,12/27/13,1739,255.28,159.42,443931.92,277231.38,166700.54
Europe,Norway,Clothes,Online,H,4/7/10,126767909,5/22/10,2296,109.28,35.84,250906.88,82288.64,168618.24
Middle East and North Africa,Afghanistan,Baby Food,Online,M,7/8/12,767401731,7/30/12,80,255.28,159.42,20422.4,12753.6,7668.8
Asia,Bangladesh,Personal Care,Online,L,10/15/16,927232635,11/24/16,7597,81.73,56.67,620902.81,430521.99,190380.82
Sub-Saharan Africa,Guinea,Meat,Offline,M,9/18/12,251621949,10/20/12,9381,421.89,364.69,3957750.09,3421156.89,536593.2
Central America and the Caribbean,Cuba,Office Supplies,Offline,H,7/2/17,256243503,7/23/17,7002,651.21,524.96,4559772.42,3675769.92,884002.5
Europe,Russia,Cosmetics,Offline,C,7/21/11,277083623,9/2/11,4056,437.2,263.33,1773283.2,1068066.48,705216.72
Sub-Saharan Africa,Seychelles ,Vegetables,Offline,L,6/1/10,620441138,6/22/10,1175,154.06,90.93,181020.5,106842.75,74177.75
Asia,South Korea,Office Supplies,Offline,M,7/26/15,312927377,9/7/15,1020,651.21,524.96,664234.2,535459.2,128775
Sub-Saharan Africa,Ghana,Baby Food,Offline,L,8/6/10,251466166,9/8/10,3282,255.28,159.42,837828.96,523216.44,314612.52
Central America and the Caribbean,Costa Rica,Office Supplies,Online,H,6/20/10,953293836,7/22/10,9685,651.21,524.96,6306968.85,5084237.6,1222731.25
Europe,Romania,Cereal,Online,C,4/8/12,305959212,4/23/12,8985,205.7,117.11,1848214.5,1052233.35,795981.15
Europe,Czech Republic,Cereal,Online,L,2/27/14,317323625,3/24/14,1967,205.7,117.11,404611.9,230355.37,174256.53
Europe,Liechtenstein,Household,Offline,L,7/25/11,365560901,9/1/11,6449,668.27,502.54,4309673.23,3240880.46,1068792.77
Sub-Saharan Africa,Seychelles ,Baby Food,Online,M,2/18/16,349157369,4/5/16,2279,255.28,159.42,581783.12,363318.18,218464.94
Middle East and North Africa,Somalia,Baby Food,Online,L,1/24/14,236911857,2/25/14,6338,255.28,159.42,1617964.64,1010403.96,607560.68
Australia and Oceania,Solomon Islands,Personal Care,Offline,H,5/10/15,517935693,6/16/15,7536,81.73,56.67,615917.28,427065.12,188852.16
Sub-Saharan Africa,Uganda,Clothes,Offline,C,2/13/12,851652705,3/27/12,1816,109.28,35.84,198452.48,65085.44,133367.04
Sub-Saharan Africa,Equatorial Guinea,Cereal,Offline,M,9/7/12,517799222,10/23/12,7151,205.7,117.11,1470960.7,837453.61,633507.09
Central America and the Caribbean,Costa Rica,Office Supplies,Offline,C,2/4/15,666424071,3/4/15,8547,651.21,524.96,5565891.87,4486833.12,1079058.75
Europe,Moldova ,Fruits,Offline,C,11/16/10,267888581,12/22/10,3039,9.33,6.92,28353.87,21029.88,7323.99
Sub-Saharan Africa,Burkina Faso,Vegetables,Online,L,7/20/11,162866580,7/26/11,4695,154.06,90.93,723311.7,426916.35,296395.35
Central America and the Caribbean,Guatemala,Beverages,Offline,H,7/26/14,812344396,8/30/14,9614,47.45,31.79,456184.3,305629.06,150555.24
Sub-Saharan Africa,Swaziland,Meat,Online,M,8/24/14,947620856,9/3/14,924,421.89,364.69,389826.36,336973.56,52852.8
Asia,Maldives,Vegetables,Online,H,2/25/15,720307290,3/28/15,3789,154.06,90.93,583733.34,344533.77,239199.57
Asia,Thailand,Household,Online,H,9/21/16,352327525,10/27/16,399,668.27,502.54,266639.73,200513.46,66126.27
Sub-Saharan Africa,Sudan,Household,Online,C,6/28/13,585917890,7/23/13,4979,668.27,502.54,3327316.33,2502146.66,825169.67
Central America and the Caribbean,Costa Rica,Meat,Offline,L,1/5/12,433627212,2/13/12,8783,421.89,364.69,3705459.87,3203072.27,502387.6
Europe,Denmark,Beverages,Online,C,5/1/12,328316819,5/30/12,5098,47.45,31.79,241900.1,162065.42,79834.68
Sub-Saharan Africa,Angola,Cereal,Offline,C,10/13/11,773160541,11/21/11,4240,205.7,117.11,872168,496546.4,375621.6
Australia and Oceania,Papua New Guinea,Household,Online,M,4/27/16,991644704,5/18/16,8559,668.27,502.54,5719722.93,4301239.86,1418483.07
Asia,North Korea,Meat,Online,M,1/19/14,277568137,2/7/14,7435,421.89,364.69,3136752.15,2711470.15,425282
Central America and the Caribbean,El Salvador,Fruits,Online,C,11/6/16,245042169,12/15/16,2278,9.33,6.92,21253.74,15763.76,5489.98
Sub-Saharan Africa,Burkina Faso,Household,Online,M,2/28/11,778490626,3/24/11,1531,668.27,502.54,1023121.37,769388.74,253732.63
Middle East and North Africa,Yemen,Baby Food,Online,C,10/11/14,482649838,11/13/14,5668,255.28,159.42,1446927.04,903592.56,543334.48
Sub-Saharan Africa,Republic of the Congo,Beverages,Online,L,6/25/12,732568633,7/5/12,2193,47.45,31.79,104057.85,69715.47,34342.38
Europe,Andorra,Household,Online,M,11/6/12,723608338,11/23/12,642,668.27,502.54,429029.34,322630.68,106398.66
Central America and the Caribbean,Dominican Republic,Household,Offline,H,2/24/14,621442782,4/14/14,7584,668.27,502.54,5068159.68,3811263.36,1256896.32
Middle East and North Africa,Israel,Baby Food,Offline,M,9/19/15,212058293,10/6/15,1616,255.28,159.42,412532.48,257622.72,154909.76
Australia and Oceania,Solomon Islands,Snacks,Offline,L,3/4/14,251753699,3/24/14,8369,152.58,97.44,1276942.02,815475.36,461466.66
Sub-Saharan Africa,Liberia,Fruits,Online,M,10/8/14,217140328,10/30/14,5503,9.33,6.92,51342.99,38080.76,13262.23
Sub-Saharan Africa,Mali,Vegetables,Online,C,6/19/12,555142009,7/10/12,7712,154.06,90.93,1188110.72,701252.16,486858.56
Asia,Uzbekistan,Clothes,Online,C,11/11/10,432995069,12/13/10,1718,109.28,35.84,187743.04,61573.12,126169.92
Middle East and North Africa,Tunisia ,Personal Care,Offline,H,11/1/10,888248336,11/7/10,1276,81.73,56.67,104287.48,72310.92,31976.56
Europe,Vatican City,Vegetables,Online,C,4/28/14,778763139,5/9/14,2173,154.06,90.93,334772.38,197590.89,137181.49
Sub-Saharan Africa,Djibouti,Snacks,Offline,H,12/22/12,832713305,2/9/13,7227,152.58,97.44,1102695.66,704198.88,398496.78
Europe,Ukraine,Household,Offline,M,8/25/14,498585164,9/29/14,1285,668.27,502.54,858726.95,645763.9,212963.05
Australia and Oceania,East Timor,Fruits,Offline,M,11/26/16,195177543,12/23/16,6227,9.33,6.92,58097.91,43090.84,15007.07
Sub-Saharan Africa,Uganda,Cereal,Online,C,10/20/10,861601769,12/2/10,5965,205.7,117.11,1227000.5,698561.15,528439.35
Sub-Saharan Africa,Guinea,Meat,Online,H,12/18/14,807281672,1/26/15,1441,421.89,364.69,607943.49,525518.29,82425.2
Sub-Saharan Africa,Equatorial Guinea,Clothes,Offline,H,3/20/11,661953580,4/24/11,5629,109.28,35.84,615137.12,201743.36,413393.76
Europe,Malta,Cosmetics,Online,M,7/12/16,225666320,8/21/16,8534,437.2,263.33,3731064.8,2247258.22,1483806.58
Europe,Cyprus,Household,Offline,L,1/26/11,718781220,2/19/11,2191,668.27,502.54,1464179.57,1101065.14,363114.43
Europe,Czech Republic,Office Supplies,Online,L,2/24/10,731972110,4/15/10,5668,651.21,524.96,3691058.28,2975473.28,715585
Middle East and North Africa,Libya,Vegetables,Online,C,1/2/15,276225316,2/9/15,64,154.06,90.93,9859.84,5819.52,4040.32
Asia,Vietnam,Office Supplies,Offline,C,7/26/16,332839667,7/27/16,3509,651.21,524.96,2285095.89,1842084.64,443011.25
Middle East and North Africa,Jordan,Vegetables,Online,C,6/1/14,603426492,6/15/14,6163,154.06,90.93,949471.78,560401.59,389070.19
Sub-Saharan Africa,Mali,Beverages,Offline,H,12/21/12,859909617,1/29/13,5220,47.45,31.79,247689,165943.8,81745.2
Europe,Czech Republic,Household,Online,L,2/27/10,494525372,3/2/10,9902,668.27,502.54,6617209.54,4976151.08,1641058.46
Europe,Slovakia,Vegetables,Online,M,4/24/16,769822585,5/15/16,6465,154.06,90.93,995997.9,587862.45,408135.45
Sub-Saharan Africa,Zimbabwe,Vegetables,Offline,C,7/22/12,768662583,8/10/12,3195,154.06,90.93,492221.7,290521.35,201700.35
Central America and the Caribbean,Honduras,Cereal,Online,M,2/22/15,544219195,3/9/15,5409,205.7,117.11,1112631.3,633447.99,479183.31
Europe,Switzerland,Beverages,Offline,L,2/10/11,669978749,3/20/11,455,47.45,31.79,21589.75,14464.45,7125.3
Sub-Saharan Africa,South Africa,Cosmetics,Offline,L,1/21/15,889740073,1/26/15,2715,437.2,263.33,1186998,714940.95,472057.05
Sub-Saharan Africa,Uganda,Beverages,Online,M,5/10/12,567614495,6/28/12,8598,47.45,31.79,407975.1,273330.42,134644.68
Middle East and North Africa,Iran,Vegetables,Offline,M,12/16/15,938025844,1/21/16,1547,154.06,90.93,238330.82,140668.71,97662.11
Middle East and North Africa,Algeria,Vegetables,Online,C,2/25/17,155710446,2/25/17,7036,154.06,90.93,1083966.16,639783.48,444182.68
Sub-Saharan Africa,Central African Republic,Baby Food,Online,L,1/31/12,945717132,2/13/12,7570,255.28,159.42,1932469.6,1206809.4,725660.2
Central America and the Caribbean,The Bahamas,Cosmetics,Offline,C,2/7/13,253407227,2/15/13,7685,437.2,263.33,3359882,2023691.05,1336190.95
Sub-Saharan Africa,South Africa,Household,Offline,H,9/14/14,494454562,9/22/14,8948,668.27,502.54,5979679.96,4496727.92,1482952.04
Sub-Saharan Africa,Benin,Cereal,Online,M,6/5/12,104845464,7/24/12,4957,205.7,117.11,1019654.9,580514.27,439140.63
Europe,Hungary,Cosmetics,Online,M,4/5/14,290878760,4/7/14,6344,437.2,263.33,2773596.8,1670565.52,1103031.28
Europe,Austria,Office Supplies,Offline,C,2/2/14,979165780,2/10/14,5768,651.21,524.96,3756179.28,3027969.28,728210
Asia,Tajikistan,Office Supplies,Offline,C,9/1/10,366630351,10/12/10,2923,651.21,524.96,1903486.83,1534458.08,369028.75
Europe,Portugal,Office Supplies,Online,C,5/17/11,770508801,6/25/11,9532,651.21,524.96,6207333.72,5003918.72,1203415
Europe,Belgium,Beverages,Offline,M,4/21/13,978349959,5/21/13,4349,47.45,31.79,206360.05,138254.71,68105.34
Europe,Slovenia,Beverages,Offline,L,8/10/14,298015153,8/14/14,8161,47.45,31.79,387239.45,259438.19,127801.26
Europe,Czech Republic,Snacks,Online,M,9/19/10,807678210,10/30/10,8786,152.58,97.44,1340567.88,856107.84,484460.04
Australia and Oceania,Marshall Islands,Personal Care,Offline,C,4/13/13,605825459,5/14/13,6071,81.73,56.67,496182.83,344043.57,152139.26
Sub-Saharan Africa,Sudan,Fruits,Online,C,1/28/16,561255729,2/1/16,6897,9.33,6.92,64349.01,47727.24,16621.77
Central America and the Caribbean,Dominican Republic,Clothes,Online,H,12/9/13,263080346,12/14/13,175,109.28,35.84,19124,6272,12852
Sub-Saharan Africa,Tanzania,Cereal,Offline,C,2/21/14,270723140,3/9/14,1848,205.7,117.11,380133.6,216419.28,163714.32
Europe,Switzerland,Clothes,Offline,H,6/9/17,763920438,7/10/17,9888,109.28,35.84,1080560.64,354385.92,726174.72
North America,Greenland,Household,Online,L,4/17/14,192721068,5/20/14,9302,668.27,502.54,6216247.54,4674627.08,1541620.46
Australia and Oceania,Tonga,Fruits,Offline,L,5/20/11,227486360,6/8/11,7124,9.33,6.92,66466.92,49298.08,17168.84
Middle East and North Africa,Saudi Arabia,Vegetables,Online,M,8/28/12,808890140,9/22/12,7422,154.06,90.93,1143433.32,674882.46,468550.86
Central America and the Caribbean,Belize,Cosmetics,Offline,C,7/25/15,597918736,9/11/15,6296,437.2,263.33,2752611.2,1657925.68,1094685.52
Sub-Saharan Africa,Angola,Cosmetics,Online,H,10/27/14,125870978,11/20/14,6874,437.2,263.33,3005312.8,1810130.42,1195182.38
Asia,Malaysia,Household,Online,H,10/18/13,444358193,10/21/13,4319,668.27,502.54,2886258.13,2170470.26,715787.87
Sub-Saharan Africa,Ethiopia,Beverages,Online,C,2/15/13,875304210,3/12/13,822,47.45,31.79,39003.9,26131.38,12872.52
North America,Greenland,Baby Food,Offline,C,7/8/14,360945355,8/16/14,607,255.28,159.42,154954.96,96767.94,58187.02
Sub-Saharan Africa,Benin,Cereal,Offline,C,12/12/16,613830459,1/16/17,4928,205.7,117.11,1013689.6,577118.08,436571.52
Middle East and North Africa,Yemen,Cereal,Offline,H,11/24/12,266820847,12/10/12,7073,205.7,117.11,1454916.1,828319.03,626597.07
Sub-Saharan Africa,Rwanda,Baby Food,Offline,M,11/3/14,723090350,11/27/14,7358,255.28,159.42,1878350.24,1173012.36,705337.88
Sub-Saharan Africa,Mauritania,Meat,Offline,M,8/3/13,306125295,8/15/13,8132,421.89,364.69,3430809.48,2965659.08,465150.4
Australia and Oceania,New Zealand,Personal Care,Online,L,5/23/12,109724509,6/16/12,8775,81.73,56.67,717180.75,497279.25,219901.5
Australia and Oceania,Samoa ,Clothes,Offline,M,7/22/15,847999322,8/6/15,699,109.28,35.84,76386.72,25052.16,51334.56
Australia and Oceania,Fiji,Clothes,Online,H,2/1/17,605373561,3/2/17,2344,109.28,35.84,256152.32,84008.96,172143.36
Sub-Saharan Africa,Malawi,Beverages,Online,H,1/28/12,686583554,2/22/12,4186,47.45,31.79,198625.7,133072.94,65552.76
Australia and Oceania,Marshall Islands,Beverages,Offline,M,8/3/15,666678130,9/21/15,3729,47.45,31.79,176941.05,118544.91,58396.14
Central America and the Caribbean,Grenada,Baby Food,Online,M,6/23/13,641018617,6/30/13,508,255.28,159.42,129682.24,80985.36,48696.88
Europe,Luxembourg,Meat,Online,C,8/3/11,775278842,9/22/11,1093,421.89,364.69,461125.77,398606.17,62519.6
Sub-Saharan Africa,Zimbabwe,Meat,Offline,M,10/30/16,855445134,12/6/16,4080,421.89,364.69,1721311.2,1487935.2,233376
Asia,China,Vegetables,Online,H,9/5/10,737816321,9/21/10,5100,154.06,90.93,785706,463743,321963
North America,United States of America,Beverages,Online,L,7/13/13,799003732,7/14/13,1815,47.45,31.79,86121.75,57698.85,28422.9
Sub-Saharan Africa,Central African Republic,Vegetables,Online,L,10/9/12,585931193,11/21/12,8916,154.06,90.93,1373598.96,810731.88,562867.08
Central America and the Caribbean,Antigua and Barbuda ,Vegetables,Online,M,1/3/12,165835034,1/5/12,3127,154.06,90.93,481745.62,284338.11,197407.51
Central America and the Caribbean,Guatemala,Baby Food,Offline,H,2/8/12,576264083,3/14/12,8203,255.28,159.42,2094061.84,1307722.26,786339.58
Middle East and North Africa,Qatar,Clothes,Offline,L,1/3/15,675079667,1/7/15,9930,109.28,35.84,1085150.4,355891.2,729259.2
Middle East and North Africa,Israel,Personal Care,Online,L,5/13/12,290455615,5/28/12,1126,81.73,56.67,92027.98,63810.42,28217.56
Asia,Thailand,Snacks,Offline,L,1/13/12,670878255,2/15/12,6639,152.58,97.44,1012978.62,646904.16,366074.46
Asia,Singapore,Cereal,Online,M,7/30/11,435146415,8/12/11,8349,205.7,117.11,1717389.3,977751.39,739637.91
Asia,North Korea,Snacks,Online,C,3/13/17,522371423,4/8/17,167,152.58,97.44,25480.86,16272.48,9208.38
Europe,Austria,Office Supplies,Online,L,3/23/17,141977107,4/18/17,3036,651.21,524.96,1977073.56,1593778.56,383295
Asia,Japan,Baby Food,Offline,L,3/16/16,823699796,4/19/16,9929,255.28,159.42,2534675.12,1582881.18,951793.94
Sub-Saharan Africa,Zimbabwe,Beverages,Offline,L,12/18/15,567588317,12/26/15,851,47.45,31.79,40379.95,27053.29,13326.66
Europe,Lithuania,Fruits,Offline,H,10/25/11,594003999,11/16/11,7838,9.33,6.92,73128.54,54238.96,18889.58
Europe,Luxembourg,Baby Food,Offline,H,6/30/11,393620669,8/2/11,9958,255.28,159.42,2542078.24,1587504.36,954573.88
Sub-Saharan Africa,Central African Republic,Cosmetics,Offline,H,3/27/16,877424657,4/10/16,8309,437.2,263.33,3632694.8,2188008.97,1444685.83
Europe,Norway,Household,Offline,M,12/23/16,326714789,1/21/17,1021,668.27,502.54,682303.67,513093.34,169210.33
Sub-Saharan Africa,Democratic Republic of the Congo,Fruits,Offline,M,4/18/13,243102395,4/18/13,8256,9.33,6.92,77028.48,57131.52,19896.96
Australia and Oceania,New Zealand,Household,Offline,L,3/8/17,398511302,4/20/17,7205,668.27,502.54,4814885.35,3620800.7,1194084.65
Europe,Ukraine,Personal Care,Offline,M,6/3/11,185177838,7/4/11,7092,81.73,56.67,579629.16,401903.64,177725.52
Asia,Taiwan,Personal Care,Offline,H,11/30/13,865650832,12/31/13,4173,81.73,56.67,341059.29,236483.91,104575.38
Europe,Italy,Cereal,Offline,C,5/11/13,622791612,5/31/13,6733,205.7,117.11,1384978.1,788501.63,596476.47
Europe,Finland,Personal Care,Online,L,11/13/10,409774005,11/27/10,89,81.73,56.67,7273.97,5043.63,2230.34
Sub-Saharan Africa,Sudan,Office Supplies,Online,H,3/9/16,800084340,4/21/16,1591,651.21,524.96,1036075.11,835211.36,200863.75
Europe,Croatia,Snacks,Offline,M,8/19/13,637521445,9/12/13,5618,152.58,97.44,857194.44,547417.92,309776.52
Sub-Saharan Africa,Mauritania,Beverages,Online,L,4/19/11,186196649,5/28/11,8581,47.45,31.79,407168.45,272789.99,134378.46
Australia and Oceania,New Zealand,Baby Food,Offline,L,7/20/14,680533778,7/25/14,3923,255.28,159.42,1001463.44,625404.66,376058.78
Middle East and North Africa,Pakistan,Beverages,Online,L,9/8/14,275269162,9/15/14,7117,47.45,31.79,337701.65,226249.43,111452.22
Europe,Poland,Household,Online,C,6/4/15,795451629,6/19/15,668,668.27,502.54,446404.36,335696.72,110707.64
Europe,Lithuania,Cereal,Offline,M,12/19/13,986442506,1/1/14,9113,205.7,117.11,1874544.1,1067223.43,807320.67
Middle East and North Africa,Pakistan,Cereal,Offline,M,5/18/12,563915622,6/10/12,4019,205.7,117.11,826708.3,470665.09,356043.21
Australia and Oceania,East Timor,Cosmetics,Offline,C,10/12/13,663857305,11/13/13,8984,437.2,263.33,3927804.8,2365756.72,1562048.08
Australia and Oceania,Marshall Islands,Fruits,Online,L,1/2/11,692566382,1/14/11,4638,9.33,6.92,43272.54,32094.96,11177.58
Central America and the Caribbean,Cuba,Household,Offline,L,2/2/13,576654183,2/3/13,3642,668.27,502.54,2433839.34,1830250.68,603588.66
North America,Greenland,Baby Food,Offline,H,3/19/11,313044536,4/14/11,5689,255.28,159.42,1452287.92,906940.38,545347.54
Europe,Luxembourg,Personal Care,Offline,C,10/3/12,418973767,10/27/12,2503,81.73,56.67,204570.19,141845.01,62725.18
Middle East and North Africa,Israel,Beverages,Online,C,10/23/14,581990706,11/15/14,2838,47.45,31.79,134663.1,90220.02,44443.08
Sub-Saharan Africa,Djibouti,Baby Food,Online,H,7/12/15,109956681,7/24/15,7480,255.28,159.42,1909494.4,1192461.6,717032.8
Europe,Bulgaria,Cereal,Online,L,5/6/10,181045520,5/27/10,4247,205.7,117.11,873607.9,497366.17,376241.73
Asia,Mongolia,Vegetables,Online,C,11/27/10,693743550,1/9/11,2988,154.06,90.93,460331.28,271698.84,188632.44
Central America and the Caribbean,Dominican Republic,Clothes,Offline,L,12/26/10,716849601,12/31/10,582,109.28,35.84,63600.96,20858.88,42742.08
Middle East and North Africa,Yemen,Cosmetics,Online,L,12/30/12,739474999,1/1/13,5940,437.2,263.33,2596968,1564180.2,1032787.8
Australia and Oceania,Federated States of Micronesia,Personal Care,Online,M,8/21/16,421043574,9/7/16,5005,81.73,56.67,409058.65,283633.35,125425.3
Europe,Finland,Personal Care,Online,M,2/3/15,841291654,3/20/15,5751,81.73,56.67,470029.23,325909.17,144120.06
Central America and the Caribbean,The Bahamas,Cereal,Offline,L,12/19/13,450268065,1/4/14,3181,205.7,117.11,654331.7,372526.91,281804.79
Central America and the Caribbean,Grenada,Meat,Online,L,5/12/12,918334138,6/12/12,4334,421.89,364.69,1828471.26,1580566.46,247904.8
Sub-Saharan Africa,Sao Tome and Principe,Meat,Offline,M,3/28/14,386163699,4/19/14,3275,421.89,364.69,1381689.75,1194359.75,187330
Central America and the Caribbean,El Salvador,Personal Care,Offline,C,1/11/17,214743077,2/18/17,6103,81.73,56.67,498798.19,345857.01,152941.18
Europe,Sweden,Baby Food,Online,M,6/21/15,935371100,7/6/15,5949,255.28,159.42,1518660.72,948389.58,570271.14
Asia,Turkmenistan,Cosmetics,Offline,H,11/29/12,899659097,12/3/12,7974,437.2,263.33,3486232.8,2099793.42,1386439.38
Europe,Monaco,Vegetables,Online,H,1/1/10,329530894,2/13/10,4369,154.06,90.93,673088.14,397273.17,275814.97
Middle East and North Africa,Turkey,Meat,Online,H,1/6/16,867222821,2/6/16,9359,421.89,364.69,3948468.51,3413133.71,535334.8
Sub-Saharan Africa,Mozambique,Beverages,Online,M,10/14/14,625283706,10/23/14,4199,47.45,31.79,199242.55,133486.21,65756.34
Middle East and North Africa,Yemen,Office Supplies,Offline,C,12/9/13,936574876,1/9/14,2173,651.21,524.96,1415079.33,1140738.08,274341.25
Asia,Philippines,Cereal,Offline,M,10/19/10,504270160,11/25/10,3601,205.7,117.11,740725.7,421713.11,319012.59
Sub-Saharan Africa,Democratic Republic of the Congo,Personal Care,Offline,M,5/2/11,351855885,6/2/11,830,81.73,56.67,67835.9,47036.1,20799.8
Australia and Oceania,Fiji,Snacks,Online,H,3/17/11,673130881,3/23/11,3241,152.58,97.44,494511.78,315803.04,178708.74
Europe,Macedonia,Office Supplies,Offline,H,9/24/14,382206475,10/13/14,2244,651.21,524.96,1461315.24,1178010.24,283305
Middle East and North Africa,Tunisia ,Cereal,Online,H,12/1/15,263506495,12/14/15,6283,205.7,117.11,1292413.1,735802.13,556610.97
Europe,Liechtenstein,Cereal,Offline,L,6/2/17,721767270,7/18/17,5829,205.7,117.11,1199025.3,682634.19,516391.11
Middle East and North Africa,Qatar,Cosmetics,Online,M,8/4/11,432037627,8/18/11,8390,437.2,263.33,3668108,2209338.7,1458769.3
Australia and Oceania,Tonga,Meat,Offline,C,7/29/14,389678895,8/24/14,3499,421.89,364.69,1476193.11,1276050.31,200142.8
Europe,Belgium,Meat,Online,L,1/26/17,760364902,2/24/17,7726,421.89,364.69,3259522.14,2817594.94,441927.2
Sub-Saharan Africa,Chad,Fruits,Offline,C,11/5/10,430081975,12/9/10,9669,9.33,6.92,90211.77,66909.48,23302.29
Asia,Thailand,Baby Food,Online,H,3/26/15,155128943,5/5/15,4957,255.28,159.42,1265422.96,790244.94,475178.02
Europe,Iceland,Clothes,Offline,H,10/7/12,312117135,10/16/12,1251,109.28,35.84,136709.28,44835.84,91873.44
Central America and the Caribbean,Saint Lucia,Meat,Offline,L,7/22/13,447970378,9/2/13,3245,421.89,364.69,1369033.05,1183419.05,185614
Asia,Japan,Cosmetics,Offline,C,8/16/13,629925000,8/18/13,7661,437.2,263.33,3349389.2,2017371.13,1332018.07
Asia,India,Personal Care,Offline,L,11/5/13,995529830,12/17/13,8254,81.73,56.67,674599.42,467754.18,206845.24
Australia and Oceania,Vanuatu,Office Supplies,Online,L,3/1/16,402646195,3/28/16,812,651.21,524.96,528782.52,426267.52,102515
Sub-Saharan Africa,Chad,Meat,Offline,M,3/25/12,479447925,4/4/12,8150,421.89,364.69,3438403.5,2972223.5,466180
Sub-Saharan Africa,Malawi,Cosmetics,Offline,H,6/20/17,674421346,6/29/17,5118,437.2,263.33,2237589.6,1347722.94,889866.66
Europe,Finland,Cosmetics,Online,L,4/18/14,506365287,5/16/14,3596,437.2,263.33,1572171.2,946934.68,625236.52
Middle East and North Africa,Turkey,Clothes,Online,C,6/28/16,914391076,8/4/16,7494,109.28,35.84,818944.32,268584.96,550359.36
Sub-Saharan Africa,South Africa,Meat,Online,L,5/20/12,207922542,7/1/12,7755,421.89,364.69,3271756.95,2828170.95,443586
Europe,Lithuania,Office Supplies,Offline,M,2/4/14,816696012,2/16/14,7353,651.21,524.96,4788347.13,3860030.88,928316.25
Europe,Russia,Beverages,Offline,L,11/15/15,740760314,11/21/15,6293,47.45,31.79,298602.85,200054.47,98548.38
Central America and the Caribbean,The Bahamas,Baby Food,Online,C,1/11/13,300476777,2/28/13,6610,255.28,159.42,1687400.8,1053766.2,633634.6
Central America and the Caribbean,The Bahamas,Snacks,Online,L,4/24/13,786519229,6/7/13,7373,152.58,97.44,1124972.34,718425.12,406547.22
Middle East and North Africa,Turkey,Cosmetics,Offline,C,5/15/10,409873998,6/3/10,9679,437.2,263.33,4231658.8,2548771.07,1682887.73
Sub-Saharan Africa,Mauritius ,Cosmetics,Offline,H,4/17/10,151839911,5/22/10,1659,437.2,263.33,725314.8,436864.47,288450.33
Europe,Bulgaria,Vegetables,Online,H,8/25/12,614028298,9/9/12,3473,154.06,90.93,535050.38,315799.89,219250.49
