Item Type,Sales Channel,Order Priority,Order Priority,Order ID,Ship Date
Meat,Offline,C,C,884493243,10/2/13
Cosmetics,Offline,M,M,533006703,1/23/11
Vegetables,Online,C,C,641146934,10/4/12
Cosmetics,Offline,M,M,573025262,11/14/11
Household,Offline,C,C,663065516,9/9/13
Beverages,Online,M,M,866004025,3/4/17
Baby Food,Online,H,H,306889617,10/21/10
Personal Care,Online,M,M,431083619,8/10/14
Personal Care,Online,H,H,954259860,6/4/15
Personal Care,Offline,C,C,312404668,6/21/16
Office Supplies,Offline,C,C,611816871,5/16/10
Office Supplies,Online,C,C,879107797,11/2/13
Vegetables,Offline,C,C,211201274,9/9/10
Fruits,Online,H,H,925333631,7/25/15
Snacks,Offline,C,C,909053695,6/27/10
Baby Food,Online,L,L,370222795,6/11/16
Cosmetics,Offline,H,H,487014758,8/30/13
Vegetables,Online,M,M,257915914,10/6/13
Meat,Offline,M,M,551725089,8/10/10
Meat,Offline,L,L,957553613,1/10/14
Office Supplies,Offline,L,L,234825313,3/23/16
Snacks,Online,M,M,363276517,7/9/10
Personal Care,Online,M,M,692956054,6/23/17
Cosmetics,Online,H,H,194225251,6/19/13
Fruits,Online,L,L,607757937,4/5/10
Cereal,Offline,H,H,594540441,7/30/12
Vegetables,Online,L,L,685871589,4/5/15
Cereal,Offline,C,C,133362710,3/23/14
Clothes,Offline,H,H,958937633,7/5/17
Vegetables,Online,C,C,304832684,9/6/11
Baby Food,Offline,L,L,783596694,12/24/10
Household,Offline,C,C,128090989,4/27/15
Vegetables,Offline,M,M,641489398,7/28/14
Clothes,Offline,M,M,647278249,9/16/14
Clothes,Online,H,H,339256370,3/31/11
Baby Food,Offline,M,M,431535089,3/19/16
Cereal,Offline,C,C,808538234,1/16/16
Personal Care,Online,C,C,975002133,4/7/13
Snacks,Online,H,H,505975615,7/4/15
Vegetables,Offline,M,M,396820008,3/20/16
Vegetables,Online,H,H,813209140,7/10/13
Baby Food,Online,M,M,641129338,5/14/14
Meat,Offline,C,C,636879432,7/3/15
Snacks,Online,C,C,277070748,7/2/14
Cosmetics,Offline,H,H,908627116,11/24/13
Cosmetics,Offline,C,C,798784863,5/2/17
Beverages,Offline,H,H,985092818,7/17/10
Snacks,Offline,C,C,325412309,7/7/10
Beverages,Online,M,M,447917163,6/24/16
Meat,Offline,M,M,801093709,10/5/13
Fruits,Offline,H,H,903740775,10/23/14
Meat,Offline,L,L,794969689,11/13/10
Clothes,Online,L,L,584204280,1/1/13
Cereal,Offline,H,H,901180875,5/26/10
Snacks,Offline,L,L,645948302,9/29/12
Cereal,Online,L,L,138867890,2/22/15
Beverages,Offline,L,L,670613467,3/21/10
Cosmetics,Offline,L,L,452171361,5/27/14
Snacks,Online,H,H,464840400,2/5/11
Household,Online,M,M,410231912,10/24/14
Meat,Offline,H,H,960269725,2/22/15
Beverages,Offline,L,L,607190167,5/18/17
Meat,Offline,H,H,613542068,8/11/16
Household,Offline,C,C,962186753,1/12/17
Beverages,Online,L,L,806298053,10/24/11
Personal Care,Online,L,L,719362294,12/3/10
Baby Food,Online,H,H,445178306,9/22/13
Cosmetics,Offline,C,C,247857415,2/15/13
Vegetables,Offline,C,C,461823451,9/4/14
Office Supplies,Offline,C,C,141812741,1/24/17
Meat,Online,C,C,212874114,8/17/16
Office Supplies,Offline,C,C,320368897,4/2/10
Beverages,Online,C,C,179970920,6/25/15
Household,Online,H,H,927666509,7/17/12
Office Supplies,Online,L,L,169754493,1/20/17
Personal Care,Offline,M,M,532846200,4/20/15
Snacks,Online,C,C,213865458,7/13/13
Office Supplies,Online,C,C,630048596,9/3/11
Clothes,Offline,H,H,568944442,4/24/14
Baby Food,Online,L,L,238414323,2/27/12
Office Supplies,Online,L,L,816632068,9/19/15
Baby Food,Online,C,C,402084004,10/5/13
Snacks,Online,L,L,763568961,6/7/15
Snacks,Offline,L,L,590198266,6/1/15
Snacks,Online,L,L,441395747,8/19/13
Personal Care,Offline,H,H,496897733,7/21/10
Beverages,Online,C,C,106753051,11/14/11
Fruits,Offline,L,L,941323029,10/27/16
Vegetables,Offline,M,M,241281497,3/3/14
Meat,Offline,L,L,267614781,5/12/16
Cosmetics,Offline,M,M,651621711,10/16/10
Personal Care,Online,M,M,644913613,9/7/15
Cereal,Offline,H,H,469414317,8/19/16
Clothes,Online,L,L,867360150,7/1/15
Clothes,Online,L,L,851299941,2/1/11
Beverages,Offline,H,H,854095017,3/4/11
Vegetables,Offline,C,C,478919208,11/27/12
Clothes,Offline,H,H,749258840,11/5/14
Baby Food,Offline,H,H,958912742,6/28/12
Personal Care,Online,C,C,921992242,3/4/10
Vegetables,Online,L,L,522921168,3/2/17
Personal Care,Offline,C,C,166435849,6/7/13
Baby Food,Offline,L,L,327585113,11/23/13
Clothes,Offline,M,M,201730287,2/19/12
Fruits,Offline,L,L,854545199,11/9/13
Personal Care,Online,M,M,272016179,11/8/10
Cereal,Offline,H,H,110442054,11/20/14
Household,Offline,C,C,746434152,2/5/16
Vegetables,Online,L,L,826916301,1/7/17
Beverages,Offline,H,H,419124829,9/19/13
Office Supplies,Online,C,C,560608565,8/24/14
Office Supplies,Offline,L,L,109228837,12/7/13
Clothes,Offline,C,C,693159472,2/5/11
Snacks,Offline,L,L,860886800,11/23/13
Fruits,Offline,C,C,131209647,5/3/12
Office Supplies,Online,H,H,343239343,7/13/12
Clothes,Online,H,H,706399714,7/19/10
Office Supplies,Online,M,M,950427091,9/14/10
Snacks,Offline,H,H,875370299,12/28/14
Clothes,Online,C,C,801590669,3/15/11
Personal Care,Offline,C,C,219762027,5/28/14
Cereal,Offline,C,C,940870702,11/21/10
Fruits,Online,M,M,346215522,5/4/14
Clothes,Offline,C,C,837407815,7/20/16
Meat,Online,L,L,386371409,7/19/14
Beverages,Offline,H,H,185342633,11/24/13
Snacks,Offline,C,C,596870315,2/18/17
Meat,Online,C,C,703815782,1/7/13
Personal Care,Online,C,C,559352862,6/4/10
Cosmetics,Offline,C,C,736967885,3/12/11
Clothes,Offline,C,C,980459678,2/9/15
Vegetables,Offline,C,C,653939568,12/6/14
Cosmetics,Online,H,H,991831386,1/29/16
Cereal,Online,L,L,148871457,7/6/17
Fruits,Online,H,H,850108611,2/25/15
Office Supplies,Offline,M,M,940904176,1/7/14
Office Supplies,Offline,H,H,136931979,12/13/15
Beverages,Offline,L,L,474178349,9/26/16
Personal Care,Offline,L,L,458942115,7/29/16
Beverages,Offline,C,C,917834603,1/13/17
Personal Care,Offline,H,H,947779643,12/5/16
Clothes,Online,L,L,166013562,11/26/15
Beverages,Online,L,L,960085189,2/13/11
Cosmetics,Offline,C,C,837855851,11/8/15
Snacks,Offline,L,L,977499377,8/12/10
Beverages,Online,L,L,377502095,3/3/14
Meat,Offline,H,H,806662833,3/27/13
Vegetables,Online,H,H,954092919,5/11/17
Meat,Online,L,L,479216182,4/26/11
Personal Care,Online,H,H,461768949,12/30/10
Meat,Online,C,C,251800048,5/22/14
Personal Care,Offline,L,L,619670808,2/25/13
Household,Offline,H,H,606055057,1/23/11
Baby Food,Online,L,L,671939122,2/14/13
Cosmetics,Offline,M,M,448621833,3/3/14
Fruits,Online,M,M,987714517,9/11/17
Household,Online,H,H,711141002,6/14/16
Office Supplies,Online,C,C,361137616,4/18/12
Household,Offline,H,H,750253188,11/21/11
Office Supplies,Online,C,C,511349046,1/2/15
Personal Care,Offline,L,L,147599017,8/28/11
Beverages,Online,H,H,682489430,5/23/15
Vegetables,Offline,M,M,509819114,2/23/14
Office Supplies,Offline,M,M,343699395,4/2/12
Clothes,Offline,L,L,968554103,4/8/11
Beverages,Online,M,M,989119565,1/6/14
Vegetables,Offline,M,M,880444610,10/31/12
Vegetables,Offline,L,L,737890565,1/15/16
Vegetables,Online,M,M,727131259,8/9/14
Office Supplies,Offline,L,L,634153020,3/11/15
Beverages,Online,H,H,315254676,9/8/14
Personal Care,Offline,M,M,147047555,9/3/10
Household,Online,L,L,576455485,2/13/13
Snacks,Offline,L,L,770714795,8/26/10
Cosmetics,Offline,H,H,867374312,8/3/11
Fruits,Online,L,L,624295365,6/23/10
Clothes,Offline,M,M,769651782,11/3/13
Vegetables,Online,C,C,751929891,8/1/14
Office Supplies,Online,H,H,989928519,4/11/10
Meat,Offline,H,H,622758996,10/1/14
Baby Food,Online,H,H,659845149,1/29/16
Baby Food,Offline,H,H,830923306,6/5/11
Beverages,Offline,L,L,936042296,3/17/10
Household,Online,L,L,395563447,3/30/15
Meat,Offline,M,M,500160586,6/7/11
Fruits,Online,L,L,360820043,7/2/15
Snacks,Online,C,C,958840644,6/2/10
Baby Food,Online,M,M,195833718,4/7/11
Personal Care,Offline,M,M,543723094,7/2/14
Cosmetics,Offline,H,H,494745099,10/30/10
Vegetables,Online,H,H,411448562,6/30/10
Personal Care,Offline,H,H,276694810,2/16/17
Office Supplies,Offline,M,M,143657672,1/8/17
Baby Food,Online,L,L,585823476,1/6/12
Clothes,Online,C,C,446991050,1/16/17
Clothes,Offline,M,M,891271722,2/22/17
Cosmetics,Online,C,C,453089320,6/16/10
Baby Food,Offline,L,L,887180173,10/18/10
Cosmetics,Online,L,L,418593108,3/25/14
Personal Care,Online,M,M,492689454,8/16/10
Cosmetics,Online,M,M,825143039,12/20/16
Vegetables,Online,L,L,751940190,10/10/13
Baby Food,Offline,H,H,579379737,8/26/16
Meat,Online,C,C,234073007,11/20/11
Meat,Online,C,C,612943828,3/1/13
Fruits,Online,C,C,433228528,12/21/12
Fruits,Online,L,L,282475936,11/28/15
Meat,Online,M,M,368547379,7/12/12
Meat,Offline,H,H,969616687,6/28/13
Baby Food,Online,L,L,184170186,2/17/15
Fruits,Online,C,C,681006705,6/14/11
Baby Food,Online,L,L,249237573,2/21/12
Vegetables,Offline,H,H,348286616,2/13/17
Clothes,Offline,L,L,257890164,12/29/11
Cosmetics,Online,H,H,228097045,6/17/17
Cereal,Online,C,C,129268586,6/21/17
Cosmetics,Online,M,M,802078616,12/9/15
Clothes,Offline,C,C,907513463,4/19/10
Vegetables,Online,L,L,976871955,8/31/10
Cereal,Offline,C,C,261765420,7/17/12
Vegetables,Offline,L,L,784117686,7/17/16
Cosmetics,Offline,M,M,586165082,1/27/17
Snacks,Online,C,C,480456435,12/16/12
Cereal,Online,L,L,899853074,10/26/11
Baby Food,Offline,L,L,547528827,12/15/10
Vegetables,Online,L,L,446970021,5/9/16
Beverages,Offline,H,H,791975486,3/20/16
Vegetables,Offline,M,M,496656548,9/29/14
Vegetables,Offline,C,C,345437037,6/30/13
Vegetables,Offline,H,H,743053281,2/23/15
Snacks,Offline,L,L,364554107,1/18/12
Cosmetics,Online,H,H,205300843,12/3/12
Household,Online,M,M,430967319,10/5/15
Meat,Offline,H,H,827539861,7/1/12
Snacks,Offline,H,H,351317298,1/14/15
Household,Offline,C,C,278910958,2/4/13
Cosmetics,Offline,C,C,157244670,3/15/17
Beverages,Online,L,L,953554761,7/28/15
Cereal,Online,L,L,105390059,8/25/16
Cosmetics,Offline,L,L,970611894,11/10/14
Baby Food,Offline,M,M,677394092,12/29/16
Baby Food,Online,L,L,474222981,10/26/15
Snacks,Online,L,L,779897391,5/5/16
Snacks,Offline,L,L,733528649,3/30/17
Office Supplies,Online,H,H,444540584,8/2/14
Clothes,Online,H,H,542669522,9/11/12
Fruits,Offline,L,L,827964293,6/1/13
Snacks,Offline,M,M,720786225,2/15/12
Household,Offline,H,H,611809146,8/1/16
Personal Care,Online,M,M,512019383,12/12/12
Personal Care,Online,C,C,502715766,8/17/14
Office Supplies,Offline,M,M,285509622,10/28/13
Beverages,Offline,L,L,532324779,1/3/15
Personal Care,Offline,H,H,635397565,11/21/15
Cereal,Offline,M,M,957276809,11/4/11
Snacks,Online,L,L,580823838,3/21/14
Office Supplies,Offline,H,H,459212481,6/16/16
Baby Food,Online,L,L,265929067,5/23/13
Beverages,Online,H,H,644772422,10/26/11
Vegetables,Offline,C,C,959853875,5/4/12
Vegetables,Online,C,C,645597255,10/25/12
Baby Food,Offline,C,C,556738889,1/25/12
Vegetables,Online,M,M,718327605,11/10/13
Baby Food,Offline,L,L,775724732,3/20/15
Baby Food,Offline,H,H,444604098,10/31/10
Beverages,Online,C,C,860952031,5/13/11
Meat,Offline,C,C,531067359,2/20/17
Cosmetics,Offline,M,M,281561410,8/2/14
Personal Care,Offline,L,L,109358012,7/10/17
Beverages,Online,L,L,531693494,8/6/10
Clothes,Offline,C,C,336116683,9/4/13
Cereal,Offline,M,M,630488908,4/30/17
Fruits,Online,L,L,792983996,12/2/16
Fruits,Online,C,C,722088277,7/3/16
Cosmetics,Online,H,H,386600577,1/29/10
Beverages,Offline,L,L,275632226,1/18/15
Vegetables,Offline,H,H,948607051,11/27/15
Cereal,Online,H,H,785261380,5/26/13
Cereal,Online,C,C,935644042,5/15/13
Snacks,Offline,M,M,370116364,8/17/14
Beverages,Online,C,C,829352176,8/26/13
Household,Online,M,M,974337804,8/7/15
Household,Online,H,H,436372077,1/3/15
Cereal,Offline,M,M,267066323,5/19/15
Fruits,Online,M,M,688344371,4/28/17
Cosmetics,Offline,M,M,642442548,11/2/14
Cereal,Online,C,C,941909682,8/1/14
Beverages,Offline,C,C,219607102,8/13/16
Personal Care,Offline,H,H,778708636,9/2/10
Beverages,Online,M,M,942700612,6/6/10
Household,Offline,H,H,905381858,4/8/11
Meat,Online,C,C,480863702,1/28/10
Cosmetics,Online,L,L,453569972,2/19/16
Baby Food,Offline,H,H,328236997,9/10/16
Personal Care,Offline,C,C,579913604,10/23/11
Cosmetics,Online,H,H,403961122,3/20/10
Cosmetics,Offline,L,L,866053378,6/22/17
Household,Offline,C,C,852176702,5/13/10
Baby Food,Online,M,M,218629920,10/20/15
Baby Food,Offline,C,C,242024362,3/17/16
Snacks,Offline,M,M,469283854,2/16/14
Fruits,Online,C,C,967644727,4/30/13
Cosmetics,Offline,L,L,974655807,7/23/14
Vegetables,Online,M,M,248178422,3/22/12
Vegetables,Offline,L,L,416386401,2/16/13
Snacks,Offline,L,L,927766072,6/20/17
Vegetables,Online,M,M,401116263,3/31/15
Fruits,Offline,H,H,675548303,11/6/12
Baby Food,Online,L,L,960486018,7/4/13
Clothes,Offline,L,L,985665738,5/19/14
Clothes,Offline,C,C,551136291,1/13/17
Cereal,Online,L,L,877259004,2/16/17
Beverages,Offline,M,M,554707705,9/19/14
Cereal,Offline,L,L,494468724,10/23/10
Personal Care,Online,H,H,777840888,10/23/11
Baby Food,Offline,C,C,206435525,1/27/17
Office Supplies,Online,C,C,352176463,12/5/15
Cosmetics,Offline,C,C,607300031,10/14/13
Baby Food,Online,H,H,434355056,9/28/13
Fruits,Offline,M,M,716202867,9/20/11
Personal Care,Online,H,H,606017291,6/12/16
Cereal,Offline,H,H,677284657,1/15/15
Fruits,Online,C,C,673803794,7/29/14
Cereal,Offline,C,C,859686028,7/10/15
Clothes,Online,H,H,669355189,9/26/15
Fruits,Offline,L,L,957547605,11/21/13
Personal Care,Online,M,M,849312102,11/23/13
Personal Care,Offline,H,H,890010011,10/14/12
Cereal,Online,H,H,795315158,10/26/12
Clothes,Offline,M,M,801213872,1/28/17
Fruits,Offline,C,C,314004981,8/9/10
Cereal,Online,C,C,160299813,4/6/10
Beverages,Offline,C,C,337022197,9/22/14
Snacks,Offline,M,M,461408460,3/15/16
Office Supplies,Offline,M,M,221007430,11/10/11
Snacks,Offline,L,L,723680436,12/20/14
Fruits,Offline,L,L,447601306,3/11/13
Clothes,Offline,L,L,191256368,11/9/10
Vegetables,Offline,L,L,823444449,10/30/16
Beverages,Online,C,C,133276879,10/17/10
Meat,Online,H,H,480177485,2/7/15
Household,Offline,H,H,243882596,5/11/15
Cosmetics,Online,L,L,574441039,4/6/17
Household,Online,M,M,442214143,5/3/12
Clothes,Offline,C,C,687875735,12/2/11
Clothes,Offline,H,H,872412145,9/25/13
Fruits,Offline,C,C,627122199,4/29/12
Fruits,Online,M,M,103617227,3/12/11
Vegetables,Offline,M,M,423821055,10/22/10
Vegetables,Online,L,L,529970014,1/3/13
Personal Care,Offline,H,H,334612929,10/3/16
Beverages,Offline,M,M,270611131,5/24/14
Office Supplies,Online,C,C,841138446,12/8/10
Household,Online,M,M,369681203,5/9/12
Household,Offline,M,M,850038230,4/21/14
Beverages,Online,M,M,296320855,7/13/13
Cosmetics,Offline,L,L,392952907,8/13/11
Snacks,Online,M,M,644670712,3/21/11
Meat,Online,L,L,626523101,2/16/12
Vegetables,Offline,M,M,433871400,7/1/15
Snacks,Offline,M,M,232389438,1/8/12
Cereal,Offline,H,H,708063542,3/19/16
Vegetables,Offline,H,H,817192542,12/22/16
Meat,Offline,H,H,936387765,2/29/12
Clothes,Offline,H,H,612573039,8/9/11
Clothes,Online,M,M,812984693,8/22/11
Meat,Offline,C,C,775171554,1/5/13
Household,Online,H,H,256994950,2/19/10
Beverages,Offline,M,M,886628711,3/31/17
Beverages,Online,C,C,312559163,12/16/11
Cereal,Online,L,L,753585135,9/13/14
Beverages,Offline,H,H,448817956,4/22/16
Clothes,Offline,M,M,407681453,12/24/12
Snacks,Online,H,H,359911954,6/23/16
Office Supplies,Offline,M,M,105558288,8/19/13
Personal Care,Offline,H,H,864981782,2/11/15
Office Supplies,Online,C,C,328856265,2/12/13
Clothes,Offline,H,H,308168065,10/18/16
Household,Offline,L,L,884216010,11/2/16
Snacks,Offline,M,M,858611428,1/9/13
Cereal,Online,L,L,903278148,4/3/17
Beverages,Online,L,L,410452497,3/26/12
Cereal,Offline,H,H,642683303,1/20/16
Beverages,Offline,L,L,682831895,3/16/17
Baby Food,Online,L,L,584072101,11/5/16
Meat,Offline,C,C,919890248,5/18/17
Snacks,Offline,C,C,534085166,4/25/10
Baby Food,Offline,H,H,590768182,9/7/11
Vegetables,Online,C,C,524363124,6/28/11
Household,Offline,L,L,289606320,2/14/16
Cereal,Offline,C,C,811546599,5/8/14
